id;address;city;state;zip_code;phone_number
1;mindshare Interactions Versatile;Cartershire;Rubber line applications;08062-6945;JSON supply-chains Pants
2;Berkshire Buckinghamshire;New Chadrick;override Kids Tasty;05141;index Berkshire
3;China generating solution;Lake Tyreek;circuit Bike;87347-1686;Toys contextually-based Sausages
4;National Soap;Starkchester;Shoes;80134-2876;Dinar
5;quantifying;Lake Schuyler;azure optical Fresh;97620-2686;Administrator Borders Greece
6;Identity calculate bus;Lake Madgestad;boliviano;39330;Ramp benchmark Rubber
7;payment fuchsia context-sensitive;Littelland;Pizza;33938;purple alarm
8;COM;East Elveratown;compressing Unbranded;64391-2686;back Computers CSS
9;Extended copying optimize;Port Tommieton;visionary Soft olive;50460;navigate Beauty Court
10;mint Ramp;Chicopee;Market override Incredible;22344;Frozen Specialist Granite
